area_id,borough,f_water,weight,f_poultry,f_soft_drinks,f_fats_oils,fibre,f_wine,f_fruit_veg,f_dairy_weight,f_tea_coffee,percentage_of_children_with_overweight
E09000001,City of London,0.0226055451798295,323.1747500336382,0.0428927018397932,0.0219610923635547,0.021973172122303,1.6198500693501017,0.0259849146741265,0.4000268799136483,0.0833794429489279,0.0049584392058161,8.128733
E09000002,Barking and Dagenham,0.0394576229775308,421.3041248991111,0.0493751060274418,0.0370770720815995,0.0299376006342372,1.5903352530824315,0.0089126889828286,0.3382063494623284,0.0573674340313103,0.0067702906468424,11.71019377
E09000003,Barnet,0.0292420302407602,407.170490779264,0.0486923116971656,0.0237971603033294,0.0288338724724535,1.6386388860507477,0.0156335098774106,0.4051634611282172,0.0634248660061356,0.0061405963857063,10.98874791
E09000004,Bexley,0.0314818935673619,359.5441264526956,0.0500660586294694,0.0319802916822892,0.0278862063626683,1.657118423906515,0.0129446336087986,0.3430289165488717,0.0620828296625095,0.006770288766076,14.57286432
E09000005,Brent,0.0374725131777107,434.3241407007912,0.0523807451104747,0.0315451695402804,0.0291271017065847,1.5859782802024174,0.0115966721955087,0.3403267933574416,0.0605785475104302,0.0059137784077828,11.15767417
E09000006,Bromley,0.0286684740089269,319.3362732416998,0.045293952660472,0.0352037664425454,0.0263009357661418,1.6298718441112332,0.0207655048755356,0.347003950596859,0.0615287213150189,0.005712658079666,12.5819135
E09000007,Camden,0.0254196613035812,348.4204141662743,0.0468006570733977,0.0229204027182399,0.0258723813931717,1.633295464734644,0.0237894935317903,0.3889803934159472,0.0762412511537997,0.0052839210300228,11.18090452
E09000008,Croydon,0.0379880923066099,353.6361232806845,0.0526971821323573,0.0398881345199985,0.0292691052603777,1.5995815525816195,0.0150948042354099,0.3361479209814143,0.061937038922645,0.006452932071622,11.3041613
E09000009,Ealing,0.0250982989003426,358.569244836155,0.0484709635162232,0.0231239874406801,0.0275642287444487,1.651457853907791,0.0168908335603377,0.3700921438234773,0.0745483577785636,0.0061601241594861,12.00094496
E09000010,Enfield,0.031428150167237,416.0624556256864,0.061123523643343,0.0288203509106915,0.0329895334600837,1.5658528541598695,0.0140427629666211,0.3505799857137233,0.0571238705949532,0.0062001298649617,12.43318615
E09000011,Greenwich,0.0333412084663061,403.1896859064734,0.0555294686151997,0.0312619127073729,0.0302362943796642,1.5777897323761785,0.0146093008482046,0.3418763658860633,0.0623204489564141,0.0061473099735602,14.28963247
E09000012,Hackney,0.0381212238857907,405.9931961887152,0.0541198559144444,0.0322247093807484,0.0334539462147436,1.569076132532566,0.0144555581114951,0.3499158412668446,0.0619912925725682,0.0065644554052646,12.12789416
E09000013,Hammersmith and Fulham,0.0258549842863816,368.8733723554643,0.0512591694747226,0.0219076321902076,0.0284247647997007,1.6304776125752676,0.0206011982915148,0.3862220365629606,0.0751904590385117,0.0054303821435468,12.15686275
E09000014,Haringey,0.0331919995477318,401.7296185929848,0.054772475859975,0.0280011562703667,0.0322709342177476,1.612258997905362,0.017090134688431,0.3598578612198551,0.0639044970765782,0.006259540030528,11.89956332
E09000015,Harrow,0.0300930762719911,427.8919379680032,0.0444483319772975,0.0256366869876172,0.0295079614880044,1.6184913465978412,0.0130037750708424,0.368439938363282,0.0630041088084798,0.0051299930993831,9.236412137
E09000016,Havering,0.0287242054133778,319.15568694255825,0.0498890376529435,0.0347906075001368,0.0256239461309246,1.681965824253172,0.012160426107418,0.3482760071854469,0.0583640768510707,0.0065880918194776,12.4137931
E09000017,Hillingdon,0.0249090050911183,374.7379509101179,0.0520557552418038,0.0240962009412738,0.0312735947054691,1.597778172410654,0.0202335989976089,0.3677531443508841,0.0652275172225211,0.005054303276072,10.32818533
E09000018,Hounslow,0.0262373671597569,336.9229444627232,0.0455568704514954,0.028579019815309,0.0252953457729446,1.6846579733563631,0.0163644250449303,0.3688797499066574,0.0723492937585241,0.0063651610525639,10.44733045
E09000019,Islington,0.0274299411953206,357.4527399792158,0.053047256801017,0.0289530953460245,0.0278139162974317,1.6081682325157296,0.0210305356471628,0.3710609313225814,0.0660458775776747,0.005390239201331,12.18733369
E09000020,Kensington and Chelsea,0.0269352774620588,372.6087654141765,0.0524802299600981,0.0204462141063714,0.026339059262656,1.6101017987429345,0.023054150100796,0.3911483512834817,0.0798286841750852,0.0059460245386879,15.07607192
E09000021,Kingston upon Thames,0.0257654363472381,297.3791743053174,0.0460915408064371,0.0321244334555987,0.0236371070170515,1.7437376718309685,0.0155949552065002,0.3598301244347455,0.0706512042187515,0.0060393347761629,8.840656432
E09000022,Lambeth,0.0344503218041188,397.0969051479764,0.0577643709432472,0.0292611907834725,0.0308763095250468,1.5887348112139124,0.0180299104169153,0.3551781113375785,0.067172166534919,0.0061284803460248,12.29166667
E09000023,Lewisham,0.035596948173457,399.1819102068426,0.055466065923169,0.0328428249118329,0.032722709895752,1.5768681640900837,0.0154841583447501,0.3525225459918429,0.061004016047097,0.0064236906059662,12.27358746
E09000024,Merton,0.0259024269187224,336.74700597820134,0.0510346184992684,0.029373950656972,0.0262249280669712,1.6432663675647683,0.0215503552053774,0.3612017141080575,0.0686383523299069,0.0056179133298447,11.03633917
E09000025,Newham,0.0406473078507202,450.3499033393754,0.0409502285323102,0.0351211495932553,0.0313111545186258,1.5301249793888492,0.008701955732544,0.3194343445180656,0.0598649449186077,0.0056456795960111,12.29874776
